size,lookup_time_kzhk(ms),lookup_time_kzhk(ms),lookup_size_kzhk(B),lookup_size_kzhk(B),client_key_size_kzhk(B),client_key_size_kzhk(B),audit_time_kzhk(ms),audit_time_kzhk(ms),audit_size_kzhk(B),audit_size_kzhk(B)
4,0.5655,1.697,433,441,488,720,1.093,2.551,1050,1018
5,0.5611,1.372,465,473,616,848,0.9518,2.818,1258,1186
6,0.8274,1.583,585,569,872,976,1.594,2.810,1474,1418
7,0.8232,1.706,617,665,1128,1104,1.623,3.195,1642,1650
8,1.279,1.472,905,697,1640,1296,2.581,3.464,2026,1898
9,1.343,1.749,937,729,2152,1552,2.675,3.533,2194,2066
10,2.164,1.989,1481,889,3176,1808,3.928,3.775,2834,2362
11,2.167,2.207,1513,1049,4200,2064,3.881,4.199,3002,2658
12,3.856,2.228,2569,1161,6248,2448,5.864,4.316,4194,2946
13,4.037,2.614,2601,1193,8296,2960,6.186,5.090,4362,3114
14,7.273,3.179,4681,1481,12392,3472,10.28,5.603,6578,3538
15,7.555,3.144,4713,1769,16488,3984,10.8,6.078,6746,3962
16,14.38,3.152,8841,1801,24680,4752,18.2,5.994,11010,4210
17,14.34,4.120,8873,1833,32872,5776,18.67,7.068,11178,4378
18,27.63,4.907,17097,2377,49256,6800,33.59,8.384,19538,5058
19,28.08,5.733,17129,2921,65640,7824,37.29,9.140,19706,5738
20,54.51,5.857,33545,2953,98408,9360,67.55,11.110,36258,5946
21,55.84,7.389,33577,2985,131176,11408,65.14,11.650,36426,6114
22,109.8,9.099,66377,4041,196712,13456,126.2,14.030,69362,7306
23,109.4,10.860,66409,5097,262248,15504,128.5,10.860,69530,15504
24,217.1,10.970,131977,5129,393320,18576,151.400,13.924,135234,10615
25,217.6,14.830,132009,5161,524392,22672,197.111,15.217,135402,11874
26,437.3,19.290,263113,7241,786536,26768,256.623,16.630,270408,13283
27,438,14.069,263145,7335,989 011,29667,334.104,18.174,270440,14859
28,876.2,15.655,519782,8306,1382066,34919,434.977,19.862,540816,16622
29,877,17.728,519814,9406,1931330,41100,566.306,21.706,540848,18593
30,1754,19.620,1039500,10651,2698885,48375,737.286,23.721,1081632,20799
31,1756,21.018,1039532,12061,3771482,56939,959.889,25.924,1081664,23266
32,3520,24.282,2079000,13658,5270355,67018,1249.701,28.331,2163264,26026