log_capacity,log_update,time
23,0,1.587
23,1,1.579
23,2,1.503
23,3,1.68
23,4,1.62
23,5,1.512
23,6,1.613
23,7,2.265
23,8,2.377
23,9,2.477
23,10,2.239
23,11,2.037
23,12,2.187
23,13,4.063
23,14,2.977
23,15,2.744
23,16,2.655
23,17,2.783
23,18,3.023
23,19,3.326
23,20,4.328
23,21,6.34
24,0,4.121
24,1,3.898
24,2,3.958
24,3,3.967
24,4,3.584
24,5,3.691
24,6,3.708
24,7,7.556
24,8,6.853
24,9,6.246
24,10,6.015
24,11,6.065
24,12,6.77
24,13,6.356
24,14,6.445
24,15,7.247
24,16,6.6
24,17,6.688
24,18,7.318
24,19,8.09
24,20,7.769
24,21,9.408
24,22,13.58
25,0,8.164
25,1,8
25,2,7.801
25,3,8.191
25,4,8.058
25,5,8.071
25,6,8.375
25,7,13.5
25,8,12.25
25,9,12.29
25,10,13.64
25,11,12.31
25,12,13.88
25,13,13.84
25,14,13.14
25,15,14.07
25,16,14.37
25,17,14.55
25,18,13.97
25,19,14.16
25,20,17.25
25,21,18.67
25,22,22.79
25,23,36.1
26,0,21.17
26,1,20.23
26,2,21.64
26,3,22.82
26,4,20.58
26,5,20.04
26,6,23.59
26,7,42.22
26,8,35.8
26,9,34.14
26,10,33.04
26,11,31.42
26,12,34.35
26,13,31.81
26,14,38.8
26,15,40.9
26,16,43.1
26,17,46.6
26,18,49.74
26,19,51.12
26,20,57.38
26,21,57.42
26,22,61.32
26,23,93.72
26,24,106.02
27,0,54.35
27,1,63.12
27,2,55.47
27,3,57.19
27,4,56.61
27,5,63.42
27,6,65.76
27,7,93.24
27,8,80.34
27,9,81.06
27,10,76.08
27,11,78.42
27,12,75.72
27,13,80.7
27,14,78.48
27,15,82.8
27,16,86.22
27,17,95.58
27,18,109.98
27,19,145.26
27,20,193.56
27,21,204.96
27,22,218.52
27,23,239.22
27,24,328.2
27,25,622.2